location,population,total_cases,percent_pop_infected,total_deaths,people_vaccinated,people_fully_vaccinated
Africa,1426736614,13105369,0.92,259002,9912181,99424535
Asia,4721383370,299562963,6.34,1632626,99984743,99147135
Europe,744807803,249063684,33.44,2074732,9952837,99943380
European Union,450146793,183729000,40.82,1242572,98726246,9978075
High income,1250514600,424151510,33.92,2898082,998862733,98937404
Low income,737604900,2315251,0.31,47975,99884689,99802341
Lower middle income,3432097300,97451923,2.84,1338755,998374834,9994418
North America,600323657,124412341,20.72,1602820,99495035,98949859
Oceania,45038860,14414388,32,29056,9923220,9988243
South America,436816679,68804807,15.75,1356082,99858548,99438222
Upper middle income,2525921300,244238518,9.67,2665559,999136982,997806778
World,7975105024,769369059,9.65,6954323,963074,996517714
